"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-1308",5.79050969184312,9.597032008673,13.3133492771406,3.10595015669864e-31,1.72690828712444e-28,60.2527047857285
"ebv-miR-BART7",9.90639298963412,9.26605580019011,12.8841904037806,9.45382216350378e-30,2.62816256145405e-27,56.8799378278469
"hsa-miR-1246",5.31880818723097,8.90803098020912,12.3370494315803,7.10230901037155e-28,1.31629460325553e-25,52.6156134042422
"hsa-miR-494",4.713170132181,13.1506799185513,11.8809421351567,2.50780610039035e-26,3.48585047954259e-24,49.0974344382087
"ebv-miR-BART3",8.78028768977641,8.21274057674905,11.6610742716562,1.37902154758167e-25,1.53347196091082e-23,47.4151762238568
"ebv-miR-BART22",9.40818769458127,8.80005388922814,11.112290818438,9.29575129817026e-24,8.61406286963778e-22,43.2605518497264
"ebv-miR-BART8",8.6747049374971,9.03156513169962,10.6085676560549,4.1670910162289e-22,3.30986086431896e-20,39.5100831277883
"ebv-miR-BART6-3p",7.84579620624388,7.33865348568821,10.3007320159039,4.11858794015025e-21,2.86241861840442e-19,37.2517042218927
"ebv-miR-BART9",6.39159075492754,8.97098218972243,10.0753242507016,2.16625069131444e-20,1.33826153818981e-18,35.615711411372
"ebv-miR-BART19-3p",7.55845866106908,7.06988908982129,9.81968958106148,1.3967421361318e-19,7.51221946702869e-18,33.7796168819558
"ebv-miR-BART17-3p",7.87276231428047,7.36387653731179,9.81112195740928,1.4862304700956e-19,7.51221946702869e-18,33.7184489696741
"ebv-miR-BART1-3p",7.86712495265444,7.35860356788213,9.75392040382804,2.24844395637141e-19,1.04177903311876e-17,33.3106915235985
"hsa-miR-320a",3.97987606347799,6.03460185734601,9.64400324698082,4.96645403623891e-19,2.12411418780679e-17,32.5302664796252
"ebv-miR-BART4",7.21590166974794,6.74947456561977,9.44107033711787,2.1219666259614e-18,8.42723888596101e-17,31.100481368301
"hsa-miR-630",3.65439555630535,9.24084699019392,9.24165371155227,8.71593252385095e-18,3.23070565550742e-16,29.7099958273276
"ebv-miR-BART18-5p",7.02741667618291,6.57317301270342,9.00162111587609,4.68102175804922e-17,1.6266550609221e-15,28.056310980338
"ebv-miR-BART21-3p",6.79437466449998,6.35519455310646,8.72682040618907,3.11965655469327e-16,1.0203112025938e-14,26.1913095550328
"ebv-miR-BART6-5p",5.34049170195622,7.99456988474905,8.15833594901936,1.42737017139464e-14,4.40898786275234e-13,22.4360253042363
"hsa-miR-93",3.89467206455953,7.21746314836502,7.92746295952755,6.46942643409637e-14,1.89315847229346e-12,20.953360896336
"hsa-miR-493",3.40893170127044,6.23938994990875,7.90225707674344,7.61832807027649e-14,2.11789520353686e-12,20.7930501207605
"hsa-miR-1290",5.12089580574724,5.06156829125856,7.83411078188735,1.18340414947926e-13,3.13320336719271e-12,20.3612048870129
"hsa-miR-1978",4.46347333484958,4.968259838327,7.5994472222988,5.29933050234895e-13,1.3392853451391e-11,18.8920019697338
"hsa-miR-378",3.72659035055499,5.33321677960836,7.46240316197711,1.25572985215027e-12,3.03559042519803e-11,18.0471243208128
"ebv-miR-BART11-5p",5.78311114010974,5.4092978724981,7.02989924977452,1.79160583599854e-11,4.15055352006329e-10,15.4472264467222
"hsa-miR-375",-4.04740039995479,1.21873300353992,-6.7882589920598,7.56442692523126e-11,1.68232854817143e-09,14.0406126647238
"hsa-miR-1973",4.01707471417406,4.9152334819924,6.71073435885071,1.19234770263687e-10,2.54978970256192e-09,13.5965926386418
"ebv-miR-BART17-5p",5.75865831930486,5.38642565227757,6.5239626136576,3.51774704264169e-10,7.24395316929178e-09,12.5417213033963
"hsa-miR-21",2.8891191472776,11.7797976924639,6.34727815263857,9.60360177889854e-10,1.907000924667e-08,11.5635778068319
"ebv-miR-BART10",3.47708840751623,9.78931035653232,6.25214329280459,1.63631505576861e-09,3.13721093450808e-08,11.045035142213
"hsa-miR-15b",2.96789753894308,9.23346975915589,5.9815796164229,7.22190004314436e-09,1.33845880799609e-07,9.60222614266983
"hsa-miR-34c-3p",-2.94744867186608,1.00928706391635,-5.92370492870117,9.8616408591458e-09,1.76873300570486e-07,9.29985728126008
"hsa-miR-2117",3.68086111389478,4.17634461534221,5.79995852036745,1.90579725498158e-08,3.31132273053049e-07,8.66088468560769
"ebv-miR-BART15",4.24062120446339,3.9665126094981,5.50998727179749,8.57702351725365e-08,1.44509850775546e-06,7.20471578202724
"hsa-miR-25",2.63797956701816,9.69007758545627,5.1773696542854,4.48820169120257e-07,7.33952982443714e-06,5.60762897635257
"hsa-miR-155",2.09716131259946,8.78228609497338,5.10508114725847,6.36557721377236e-07,1.01121740881641e-05,5.27117814101067
"hsa-let-7i",1.39535438621257,10.3392544860456,4.86318271611761,1.99478530432585e-06,3.08083508112548e-05,4.17366476850164
"hsa-miR-106b",2.23042428334049,8.62326268301901,4.79577450664156,2.72177446840243e-06,4.09001784981555e-05,3.87571742165772
"hsa-miR-1975",1.79571420453036,9.30636695119011,4.71537445593241,3.92578718089883e-06,5.74404650678882e-05,3.5249068603148
"hsa-miR-708",3.80158015016306,6.60613325398859,4.68049071840315,4.59517027148708e-06,6.551063258838e-05,3.37425192681794
"hsa-miR-96",2.80650659431251,7.33853075758175,4.51022265105019,9.78131214895596e-06,0.000135960238870488,2.65253499604325
"hsa-miR-1977",2.73003783525894,3.02641487171863,4.4377891267406,1.34000949326402e-05,0.000181718360549949,2.35243720168957
